"Click here to select your Kariboo!-spot","Click here to select your Kariboo!-spot"
"Click here to change your Kariboo!-spot","Click here to change your Kariboo!-spot"
"Open after 16h","Open after 16h"
"Open Sunday","Open Sunday"
"Filter","Filter"
"Select","Select"
"Postal code","Postal code"
"Kariboo! Orders","Kariboo! Orders"
"Generate Label and Complete","Generate Label and Complete"
"Generating a label can take up to 1 second per label, please be patient during this process. It can take up to maximum 2 minutes. Do you want to continue?","Generating a label can take up to 1 second per label, please be patient during this process. It can take up to maximum 2 minutes. Do you want to continue?"
"Download all undownloaded","Download all undownloaded"
"Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?","Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?"
"Kariboo! Return Labels","Kariboo! Return Labels"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"Shipping Price","Shipping Price"
"Sorry, there was a problem contacting Kariboo! , please contact the store owner for support.","Sorry, there was a problem contacting Kariboo! , please contact the store owner for support."
"Your return label has been generated and is available under 'Kariboo! Return Labels' in this order.","Your return label has been generated and is available under 'Kariboo! Return Labels' in this order."
"The email with return label and instructions has been sent to %s.","The email with return label and instructions has been sent to %s."
"No label generated yet - please perform the ‘Generate Label and Complete’ action from the overview.","No label generated yet - please perform the ‘Generate Label and Complete’ action from the overview."
"The order with id %s is not ready to be shipped or has already been shipped.","The order with id %s is not ready to be shipped or has already been shipped."
"%s label(s) have been generated for %s order(s) and statuses have been changed.","%s label(s) have been generated for %s order(s) and statuses have been changed."
"Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled.","Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled."
"No undownloaded labels found.","No undownloaded labels found."
"The file(s) could not be downloaded, please check your Kariboo logs.","The file(s) could not be downloaded, please check your Kariboo logs."
"Sorry, something went wrong processing your shipping address. Your address was not recognised. Please correct any errors in your shipping address and try again.","Sorry, something went wrong processing your shipping address. Your address was not recognised. Please correct any errors in your shipping address and try again."
"Kariboo! Return Label","Kariboo! Return Label"
"Download Kariboo! Label","Download Kariboo! Label"
"The order with id %s is not ready to be shipped or has already been shipped.","The order with id %s is not ready to be shipped or has already been shipped."
"Something went wrong while processing order %s, please check your error logs.","Something went wrong while processing order %s, please check your error logs."
"Shipped with Kariboo generateLabelAndComplete","Shipped with Kariboo generateLabelAndComplete"
"The order with id %s only has non-Kariboo! shipments.","The order with id %s only has non-Kariboo! shipments."
"%s orders already had downloaded labels.","%s orders already had downloaded labels."
"All labels have been downloaded.","All labels have been downloaded."
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"An error occurred while importing table rates.","An error occurred while importing table rates."
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Invalid Country "%s" in the Row #%s.","Invalid Country "%s" in the Row #%s."
"Invalid Region/State "%s" in the Row #%s.","Invalid Region/State "%s" in the Row #%s."
"Invalid %s "%s" in the Row #%s.","Invalid %s "%s" in the Row #%s."
"Invalid Shipping Price "%s" in the Row #%s.","Invalid Shipping Price "%s" in the Row #%s."
"Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s").","Duplicate Row #%s (Country "%s", Region/State "%s", Zip "%s" and Value "%s")."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us."
"Overlay","Overlay"
"Inline","Inline"
"Table Rates","Table Rates"
"Flat Rate","Flat Rate"
"Loading please wait..","Loading please wait.."
"Based on your previous order, we already selected the same Kariboo!-spot for you:","Based on your previous order, we already selected the same Kariboo!-spot for you:"
"Ma","Mo"
"Di","Thu"
"Wo","Wed"
"Do","Thu"
"Vr","Fri"
"Za","Sa"
"Zo","Sun"
